Index,Ranking,Movie Title,Studio,Adjusted Gross,Unadjusted Gross,Year,Sentiment Score
30,31,The Dark Knight,WB,641130800,534858444,2008,45.12666667
31,32,The Jungle Book,Dis.,634384100,141843612,1967,52.11239899
32,33,Sleeping Beauty,Dis.,625740800,51600000,1959,61.26547348
33,34,Ghostbusters,Col.,612805800,242212467,1984,53.62613636
34,35,Shrek 2,DW,611748500,441226247,2004,48.09103535
35,36,Butch Cassidy and the Sundance Kid,Fox,607503100,102308889,1969,55.04724026
36,37,Love Story,Par.,602684000,106397186,1970,68.7894152
37,38,Spider-Man,Sony,598263700,403706375,2002,60.94205387
38,39,Independence Day,Fox,596405000,306169268,1996,60.19017857
39,40,Home Alone,Fox,583191400,285761243,1990,61.65202381
40,41,Pinocchio,Dis.,580342700,84254167,1940,53.82537879
41,42,Cleopatra (1963),Fox,578449600,57777778,1963,55.35
42,43,Beverly Hills Cop,Par.,578161700,234760478,1984,52.15108618
43,44,Goldfinger,UA,570843000,51081062,1964,51.37345328
44,45,Airport,Uni.,569218200,100489151,1970,51.29182359
45,46,American Graffiti,Uni.,565800000,115000000,1973,52.76041667
46,47,The Robe,Fox,563563600,36000000,1953,55.79137386
47,48,Pirates of the Caribbean: Dead Man's Chest,BV,556450200,423315812,2006,40.51208333
48,49,Around the World in 80 Days,UA,556338500,42000000,1956,54.15487013
49,50,Bambi,RKO,548564200,102247150,1942,51.74444444
50,51,Blazing Saddles,WB,544493200,119601481,1974,55.82272186
51,52,Batman,WB,542039300,251188924,1989,54.19381313
52,53,The Bells of St. Mary's,RKO,540235300,21333333,1945,61.875
53,54,The Lord of the Rings: The Return of the King,NL,530717800,377845905,2003,51.16047379
54,55,Finding Nemo,BV,530259900,380843261,2003,54.22901335
55,56,The Towering Inferno,Fox,528444400,116000000,1974,78.71670034
56,57,Cinderella (1950),Dis.,519195300,93141149,1950,51.15
57,58,Spider-Man 2,Sony,517966800,373585825,2004,58.82394023
58,59,My Fair Lady,WB,516600000,72000000,1964,75.45212798
59,60,The Greatest Show on Earth,Par.,516600000,36000000,1952,84.15005892
60,61,National Lampoon's Animal House,Uni.,515655200,141600000,1978,48.75744048
61,62,The Passion of the Christ,NM,514058700,370782930,2004,54.46857368
62,63,Star Wars: Episode III - Revenge of the Sith,Fox,510784700,380270577,2005,52.1875
63,64,Back to the Future,Uni.,508426100,210609762,1985,49.64198413
64,65,The Lord of the Rings: The Two Towers,NL,497014700,342551365,2002,53.14734848
65,66,The Dark Knight Rises,WB,495779300,448139099,2012,48.62704545
66,67,The Sixth Sense,BV,495756300,293506292,1999,51.03001804
67,68,Superman,WB,493853500,134218018,1978,52.50982143
68,69,Tootsie,Col.,489942900,177200000,1982,59.04740741
69,70,Smokey and the Bandit,Uni.,489331500,126737428,1977,58.4834626
70,71,Finding Dory,BV,485986009,485986009,2016,51.48710317
71,72,West Side Story,MGM,481904200,43656822,1961,52.6030303
72,73,Harry Potter and the Sorcerer's Stone,WB,481410800,317575550,2001,55.24100379
73,74,Lady and the Tramp,Dis.,479877400,93602326,1955,65.85189845
74,75,Close Encounters of the Third Kind,Col.,478505400,132088635,1977,64.00724206
75,76,Lawrence of Arabia,Col.,476852400,44824144,1962,55.02954545
76,77,The Rocky Horror Picture Show,Fox,474147700,112892319,1975,51.94876894
77,78,Rocky,UA,473894200,117235147,1976,59.20401515
78,79,The Best Years of Our Lives,RKO,473550000,23650000,1946,78.29458333
79,80,The Poseidon Adventure,Fox,472705900,84563118,1972,55.97244769
80,81,The Lord of the Rings: The Fellowship of the Ring,NL,471821800,315544750,2001,55.56477273
81,82,Twister,WB,470864800,241721524,1996,49.87301587
82,83,Men in Black,Sony,470249600,250690539,1997,49.9398187
83,84,The Bridge on the River Kwai,Col.,468384000,27200000,1957,54.93068182
84,85,Transformers: Revenge of the Fallen,P/DW,464087000,402111870,2009,54.19373793
85,86,"It's a Mad, Mad, Mad, Mad World",MGM,463867300,46332858,1963,31.45195467
86,87,Swiss Family Robinson,Dis.,463286900,40356000,1960,55.19553256
